,0
241,"Ade Armando. Dan kumaila ini BERKEYAKINAN ISKAM TAPI LEBIH ILMIAH SEDERHANA BENAR ""ISLAM SEKYLERSIME"" DUA MANUSIA INI DI PISCART LIGAT CARA PENAMPILANYA."
242,Bagi kami kaum Kristiani berperang bukanlah secara hurufiah seperti perang antara sesama manusia melainkan berperang melawan kuasa² penguasa setan/iblis/Dajjal yang ingin menguasai hati dan pikiran diri kita sendiri itu arti perang yang sebenarnya
243,Ade armando anda seorang dosen tapi kok bodoh sekali waktu dihajar mahasiswa pun tdk membuat lhu kapok dasar kepala batu.
244,"Ngomong pada sok baik. Tapi faktanya melihat Israel menjajah membunuh dengan keju dan biuadap, di kalangan kalian menutup mata bahkan mendukung peran Israel dengan dalih yahudi orang pilihan. Percuma banyak omong jika bertolak sengan suara hati"
245,Firman Tuhan tidak akan ada Expire nya utk sgala jaman..kecuali klo buatan manusia..contoh nya uud 45 perlu di amandemen & jg KUHP..krn di susai kan dgn jaman nya..pikir lah baik2..ok !!
246,"Bu meila  mana ayatnya agar perang sudah tidak jamannya !
😂😂😂 atau siapa yang menerima ayat  dari tuhan  stop perang  😂"
247,"Genosida Holocaust Yahudi 
Pandangan bahwa Israel adalah bangsa terkutuk yang dimurkai Tuhan Mulai dari zaman ahli theologia gereja, Augustine dari Hippo, Aljazir, pada abad ke-4, pandangan umum gereja adalah sangat negatif. Orang-orang Yahudi dianggap oleh gereja sebagai hama yang harus dimusnahkan.
 Orang-orang Yahudi dianggap sebagai pembunuh Mesias, pembunuh Yesus ❗ Oleh karena itu, kemana pun mereka pergi, mereka dianiaya, dibunuh atau diusir.

 Penganiayaan selama 1600 tahun itu memuncak pada abad ke-20 dengan 4 juta orang Yahudi tewas dalam pogrom-pogrom Rusia dari tahun 1917-1965 dan pembunuhan massal 6 juta orang Yahudi oleh bangsa kelahiran Protestan, Jerman, dengan pertolongan 26 Synode Gereja Lutheran yang mendukung Adolf Hitler. Ini posisi resmi Gereja Lutheran dalam Konferensi Lutheran tahun 1935. Gereja Anglikan, Gereja Katolik dan banyak gereja tradisional lainnya telah mengambil sikap serupa.
Genosida aborigin,suku maori, India, Afrika, bom atom Hiroshima dll...😩🤭🤭🤭"
248,"Orang bijak selalu belajar dari pengalaman baik dan buruk
https://youtu.be/8dAKksgzq5I?si=1NGyy0YWB2F2uA6f"
249,Kumaila  kurang konsisten
250,"Oten bakal senang, lihat judul video ini, oten itu kalau nonton YouTube cuma lihat judulnya aja, paling nonton 1 detik, aja,. Lalu berkomentar, begitulah orang kafir, asal tahu aja oten ya, tahu nggak Ten, oten, itu sudah mulai punah,.. dikampung saya, justru banyak yang mualaf, asal tahu aja sebenarnya Ade Armando itu, juga ketawa lihat agama Lo Ten, dalam hatinya apaan sih agama oten, bangkai kok disembah, lalu menebus dosa, lalu di buatlah patungnya lalu di sembah lagi, dia buat sendiri lalu disembah...  Ade Armando itu sebenarnya cinta Islam, karena takut dia kekal di neraka,. Hanya karena Ade Armando, di bisikin orang kafir dibalik layar,  qm Ngomong ini, saya bayar mahal, jadi kalian oten, hanya samph saja di Indonesia"
251,"""Jika kau ditampar pipi kananmu maka berikan pipi kirimu""
Apabila memakai logika ADE ARMANDO, Indonesia tidak akan merdeka, penjajah akan tetap bercokol di bumi pertiwi.
Saat harta dan kekayaan Nusantara dirampas Penjajah,  maka harga diri , martabat bangsa , tanah air, wilayah kedaulatan malah diserahkan pula pada Penjajah.
Dan Umat Islam-lah sebagai garda terdepan dalam memerangi kemungkaran dan mengusir penjajah dari bumi pertiwi.

Islam agama rahmad bagi seluruh alam, sebagai agama yang cinta damai, untuk itulah perlu memerangi,  perang terhadap kemungkaran, ketidakadilan, kesewenang-wenangan.

Islam akan hormat dan bersikap baik terhadap kaum kafir (kafir, cover artinya tertutup terhadap kebenaran Islam) yang baik yang tidak bersikap memusuhi Islam. Tercatat dalam sejarah adanya ""PIAGAM MADINAH"" antara Umat Islam, Yahudi, Nasrani dan agama lainnya hidup damai berdampingan.

Akan tetapi jangan salahkan Umat Islam jika meng-counter balik terhadap kaum Kafir dan kaum Munafikun seperti ADE ARMANDO yang sering menyerang dan statementnya menyakiti hati Umat Islam. Rekam jejak digital Kamu Ade Armando tidak akan pernah terhapus dari ingatan Umat Islam."
252,"Ade Armando bertanya karena kurang memahami ttg Islam, yang menjawab pertanyaan harus didampingi seorang ulama karena disini ada kaitan nya dengan tafsir Al - quran, kalo tidak nanti bisa sesat ( salah faham)"
253,Chanel kumpulan orang2 munafik yg bersatu dgn orang kafir.
254,"Pada zaman Nabi belum ada negara, yang ada adalah kelompok - kelompok diantara nya ada kelompok ke khalifahan Islam, untuk mempertahankan keberadaan mereka dari serangan musuh mereka harus melawan ( menyerang) kalo tidak begitu mereka bisa musnah, ketika mereka menang maka daerah kekuasaan semakin luas, jadi hampir semua yg ber agama tidak bisa dipungkiri pasti pernah berperang. Harus bisa membedakan antara penyebaran ke khalifahan Islam dengan penyebsran  Islam sebagai agama atau keyakinan. Ke khalifahan Islam tidak menyebarkan Islam dengan pedang ( kekerasan), tidak ada yang dipaksa  menjadi muslim, orang memeluk Islam berdasarkan keyakinan."
255,"*sahih muslim 30,31,32,33*
Perintah untuk memerangi manusia hingga manusia mengucapkan 'tidak ada tuhan yang berhak disembah selain Allah dan Muhammad,
و حَدَّثَنَا أَبُو الطَّاهِرِ وَحَرْمَلَةُ بْنُ يَحْيَى وَأَحْمَدُ بْنُ عِيسَى قَالَ أَحْمَدُ حَدَّثَنَا و قَالَ الْآخَرَانِ أَخْبَرَنَا ابْنُ وَهْبٍ قَالَ أَخْبَرَنِي يُونُسُ عَنْ ابْنِ شِهَابٍ قَالَ حَدَّثَنِي سَعِيدُ بْنُ الْمُسَيَّبِ أَنَّ أَبَا هُرَيْرَةَ أَخْبَرَهُ أَنَّ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ أُمِرْتُ أَنْ أُقَاتِلَ النَّاسَ حَتَّى يَقُولُوا لَا إِلَهَ إِلَّا اللَّهُ فَمَنْ قَالَ لَا إِلَهَ إِلَّا اللَّهُ عَصَمَ مِنِّي مَالَهُ وَنَفْسَهُ إِلَّا بِحَقِّهِ وَحِسَابُهُ عَلَى اللَّهِ

Dan telah menceritakan kepadaku Abu ath-Thahir dan Harmalah bin Yahya serta Ahmad bin Isa, Ahmad berkata,........ 

bahwa Rasulullah shallallahu 'alaihi wasallam bersabda: ""Aku diperintahkan untuk memerangi manusia hingga mereka mengucapkan, 'Tidak ada tuhan (yang berhak disembah) melainkan Allah', maka barangsiapa yang mengucapkan, 'Tidak ada tuhan (yang berhak disembah) melainkan Allah', maka sungguh dia telah menjaga harta dan jiwanya dari (seranganku) kecuali dengan hak Islam, dan hisabnya diserahkan kepada Allah."""
256,"*Matius 22:37-39*
37 Jawab Yesus kepadanya: ""Kasihilah Tuhan, Allahmu, dengan segenap hatimu dan dengan segenap jiwamu dan dengan segenap akal budimu. 
38 Itulah hukum yang terutama dan yang pertama.
39 Dan hukum yang kedua, yang sama dengan itu, ialah: Kasihilah sesamamu manusia seperti dirimu sendiri.

*1 Korintus 13:4-6*
4 Kasih itu sabar; kasih itu murah hati; ia tidak cemburu. Ia tidak memegahkan diri dan tidak sombong. 
5 Ia tidak melakukan yang tidak sopan dan tidak mencari keuntungan diri sendiri. Ia tidak pemarah dan tidak menyimpan kesalahan orang lain.
6 Ia tidak bersukacita karena ketidakadilan, tetapi ia bersukacita karena kebenaran. 

*Roma 12:9*
Hendaklah kasih itu jangan pura-pura! Jauhilah yang jahat dan lakukanlah yang baik."
257,​@@narutobinnartoAnda dalam menemukan hadis nabi harus hati - hati karena ada hadis palsu yang sengaja untuk menyesatkan.
258,"Allah itu maha Kuasa, jadi kalo Allah mau memaksa tidak perlu memerintahkan Nabi untuk memaksa orang harus menjadi Islam, tapi Allah bisa membuat semua umat manusia menjadi Islam, karena manusia itu adalah ciptaan Allah."
259,"​@@nurmanalamsyah1060coba tayangkan yang asli isinya bagamana menurut *sahih muslim 30,31,32,33* ?"
260,"Narasumber nya sprtinya butuh satu lg dr background  yg betul2 faham ttg Islam, biar diskusinya lebih obyektif dan berbobot. Krn di sini baik ade armando maupun si cewek ini sama2 menggunakan pemahaman bebas dlm menilai Al Quran.. mrk jelas tdk pny ilmu tafsir dlm menilai Al Quran.. hny batas logika2 pemahaman mrk sj"
261,"#adaAPA kok para yutuber banyak bahas tentang agama, atau tempat ibadah sudah ngak muat atau memang manusia sudah benar"" malas ke beribadah di tempatnya?"
262,Mudah 2an mereka ini selalu aman 😄😄
263,Biar lebih jelas lagi surah at-taubah ayat 1-29 dan hadist shahih bukhari volume 4 book 52 number 220 muhamad dan islam adalah Terorisme dan diperintahkan untuk melakukan tindakan kejahatan kepada Yahudi dan Kristen
264,"Mana ada ajarkan Damai.... bubarkan org ibadah ato roboh tempat ibadah lain 😂😂😂
Ha...ha...preetlah..."
265,"Tapi kenyataannya musuh islam masih ada. Yg memerangi islam masih ada. Penista agama Islam masih ada.

Perintah perang dalam Qur'an itu memerangi orang yg memerangi islam, orang kafir yg melecehkannya islam, 

Bukan setiap hari harus perang dengan non Islam.

Jadi Alquran masih jadi pedoman seumuran Hindup, karena Qur'an tidak menyuruh memerangi semua kafir.  

Saat ini pun klo aman damai minimal seperti di Indonesia, mana ada orang Islam memerangi orang non muslim?

Kalo perang seperti russia yg menyerang Ukraina, apakah orang Ukraina harus diam saja dan gk boleh membunuh orang Russia?

Apakah orang Palestina harus diam saja ketika diserang Israel?

Begitupun orang Islam harus membela diri klo ada kafir yg menyerang.

Tapi disaat negara aman damai tanpa ada gangguan, apakah orang Islam menyerang orang kafir? Ya tidak. Di Alquran pun tidak disuruh Perang tiap hari."
266,"Chanel sampah, gmn host dan bintang tamunya ? Ya jelas sampah juga lah..😊 , para sampah ini ga sadar siapa yg bantai manusia disepanjang jalan ke yerussalem saat perang salib.. mereka lupa pula negara2 dan penganut mana yg memulai PD1, PD2, , bahkan penjajahan kolonial .. ah sampah bener lah pokoknya.."
267,"Gak relevan gimana, gak liat apa yang ada di plest1n4???

lu kira agama lu ajaran damai???
Matius 10:34 ""Jangan kamu menyangka, bahwa Aku datang untuk membawa damai di atas bumi; Aku datang BUKAN untuk membawa damai , melainkan pedang. 10:35 Sebab Aku datang untuk memisahkan orang dari ayahnya, anak perempuan dari ibunya, menantu perempuan dari ibu mertuanya, 10:36 dan musuh orang ialah orang-orang seisi rumahnya.


Apakah dengan lu begini lu berharap agama islam akan mati??? lu mimmpi!!! malah sebalik nya, karena kalian melawan janji Allah, udah nyerah aja yang kalian lawan adalah Allah langsung:

Allah Subhanahu Wa Ta'ala berfirman:

""Mereka hendak memadamkan cahaya (agama) Allah dengan mulut (ucapan-ucapan) mereka, tetapi Allah menolaknya, malah berkehendak menyempurnakan cahaya-Nya, walaupun orang-orang kafir itu tidak menyukai.""
(QS. At-Taubah 9: Ayat 32)

Apabila datang pertolongan Allah dan kemenangan,dan kamu lihat manusia masuk agama Allah dengan berbondong-bondong,maka bertasbihlah dengan memuji Tuhanmu dan mohonlah ampunan kepada-Nya. Sungguh, Dia adalah Maha Penerima taubat."" (Q.S. An-Nasr: 1-3)"
268,"Kekhalifahan Islam tidak menyebarkan Islam dengan pedang, tidak ada yang dipaksa menjadi muslim, harus bisa membedakan antara dua hal disini, satu penyebaran ke khalifah an Islam dan kedua adalah penyebaran Islam sebagai agama atau keyakinan, orang memeluk agama Islam karena mereka menganggap bahwa Islam menarik sebagai keyakinan, mereka menemukan hal - hal yang logis dan rasional dalam agama ini. Ketika Nabi Muhammad SAW menjadi pemimpin di Arab beliau memberikan perlindungan kepada orang - orang Yahudi dan Nashrani yang tinggal didaerah itu."
269,Setuju sekali bahkan penjarahan pun di sahkan
270,"Nabi Muhammad SAW berperang untuk menegakkan kebenaran, melawan kesewenangan, dan membela diri. Berikut ini beberapa alasan Nabi Muhammad SAW berperang: 
Menentang kaum musyrikin yang menghalangi kebebasan Islam 
Mempertahankan dan menegakkan eksistensi agama Islam 
Mengobati luka mental dan ma'nawi kaum muslimin 
Menjadikan para sahabatnya sebagai teladan kesabaran dalam menghadapi musuh 
Mengajarkan bahwa perang yang sesungguhnya adalah perang mental 
Nabi Muhammad SAW juga memiliki aturan-aturan dalam berperang, seperti:
Hanya menyerang jika diserang terlebih dahulu
Tidak menyerang anak-anak, perempuan, orang lanjut usia, dan orang yang sedang sakit
Memberikan perawatan terhadap tawanan perang 
Nabi Muhammad SAW pernah berpartisipasi dalam peperangan sebelum masa kenabiannya, salah satunya adalah Perang Fijar. Nabi Muhammad juga memimpin beberapa perang setelah menjadi nabi, seperti Perang Badar dan Perang Uhud."
271,"katanya jibril yang bawa ayat ayatnya, di ayat mana yang menyebutkan jibril datang bertemu muhamad?"
272,di ayat mana didalam quran yang penyebaran islam dengan diplomasi?
273,Lawong islam dipepet ya melawan.kamu saja dijitak kepalamu pasti kamu marah.
274,Ketahuilah hanya didalam Yesus Kristus ada kehidupan yang damai sejahtera dan sukacita lain daripada itu tidak ada.
275,"Halu nih cewek Tauhid dibilang konsep baru dari Islam,dia kira Yahudi itu dianggap gak tauhid? wkwkwk"
276,"BERTAUBATLAH ENGKAU WAHAI ADE ARMANDO, PERNYATAAN MU SEKARANG INI DENGAN MENGATAKAN ""ISLAM AGAMA PERANG"" ITU GA ADA DI UTARAKAN OLEH PARA ULAMA DARI GENERASI PENDAHULU, PERNYATAAN BEGITU HANYA DI UTARAKAN OLEH ORIENTALIS LIBERALIS KAFIRALIS KRISETANILALIS DAN MISIONARISLAIS. WAHAI ARMANDO, BERTAUBATLAH, ISLAM ITU BUKAN AGAMA PERANG BUKAN JUGA AGAMA DAMAI, NAMUN DIA AGAMA YANG DI TURUNKAN OLEH ALLAH, AGAMA YANG DI TURUNKAN OLEH ALLAH MEMBERI SOLUSI ATAS PERPERANGAN/GEJOLAK POLITIK DAN PERDAMAIAN ATAS TSB, JADI PERNYATAAN ISLAM AGAMA PERANG ITU SALAH BESAR. ISLAM AGAMA YANG TIDAK SUKA DENGAN PERPERANGAN, ALLAH MENGATAKANNYA SENDIRI DALAM AL QUR'AN, NAMUN ITU MENJADI TUNTUTAN HAK KEWAJIBAN JIKA DI SERANG ""DI WAJIBKAN ATAS KALIAN BERPERANG KRNA TELAH DI PERANGI, WALAUPUN KALIAN MEMBENCI PERANG TSB, TAPI KETAUHILAH,BISA JADI KALIAN MEMBENCI SESUATU PADAHAL DIA AMAT BAIK BAGI KALIAN (MEMBELA DIRI) DAN BISA JADI KALIAN MENYUKAI SESUATU DIA BAKAL MENJADI AMAT BURUK BAGI KALIAN (KENA PIJAK PIJAK)"" BERTAUBAT LAH WAHAI ADE ARMANDO, ISLAM ITU SYARAT SYARAT PERANGNYA MASIH MANUSIAWI KETIMBANG HUKUM PERANG PADA ZAMAN SEKARANG, WAHAI ADE ARMANDO, BERTAUBATLAH."
277,"PERANG ITU PILIHAN TERAKHIR BAGI KAUM MUSLIMIN UNTUK BERTAHAN .....
KALIAN PIKIR ROMAWI MENYEBARKAN KRISTEN KE SELURUH DUNIA ITU MELALUI KHOTBAH.....!!!???? GOBLOK....!!! 
SPERTINY AKAN ADA ADE ARMANDO DITELANJANGI DAN DIGEBUKIN RAME2 JILID 2...🤣🤣😂😂😂"
278,"Konteks tdk bisa jadi alasan, 600 tahun sebelumnya ada ajaran kasih.."
279,Sy yakin Kumaila ini sekarang islam ktp. Spt kata gusdur dipegang panas tp tdk bisa dilepaskan.😢😢😢
280,"Nyatanya bangsa yang suka menjajah agamanya malah Kristen. Kalo asli orang Indonesia dan belajar sejarah pasti mengakui itu. Terbukti 350 tahun Indonesia dijajah umat Kristen. Ummat Islam dulu jaman Nabi Muhammad sering perang tapi tidak pernah menjajah, perang adalah jalan terakhir dalam menyebarkan Islam karna jaman Nabi umatnya keras kepala tidak dapat diajak diskusi maunya setiap perkara selalu diputuskan dengan mengangkat pedang."
281,Perang dunia ke 2 dan 1 bukan Islam dalangnya
282,"Baru bahas 1 topik aja dah ngeri ngeri sedap, dan masih banyak lagi yg lebih parah, semakin di dalami maka siap siap terkejut"
283,"Banyak ayat-ayat yg memerintahkan bersikap lemah lembut. Surah Ali Imran, ayat 59 contohnya. Jadi tdk mungkinlah Nabi Muhammad menyebarkan Islam dengan peperangan. 
Adapun peperangan zaman Nabi, semuanya disebabkan karena kekhawatiran penguasa non muslim, terutama nasrani dan yahudi,  thp perkembangan Islam yg mereka anggap menjadi ancaman bagi kekuasaannya. Itulah sebabnya kemudian mereka memerangi Islam. Bukan ummat Islam yg memerangi mereka."
284,Awal mula adanya perang yg di pimpin nabi muhammad itu perang badar...turunya wahyu PERANGILAH itu karena nabi muhammad dan umatnya di zholimi dan di siksa terlebih dahulu...contohnya bilal dan lainya di siksa dan di situ tidak ada jalan lain kecuali melawan ke zholiman di jaman jahilliyah
285,Skenarionya terbaca bgt.  Kedua orang ini Jadi keliatan rendah bgt logika berfikir nya. 😂
286,Yg menjajah Indonesia sj semua bergama kristen.yg menghabisi suku Indian..suku amborijin beragam kristen.dalam isi Bibel pun pengatakn aq kn datang bukan utk membawa damai tp membawa perang
287,Skenarionya terbaca bgt.  Kedua orang ini Jadi keliatan rendah bgt logika berfikir nya. 😂
288,Mbaknya ini tdk memahami literatur islam yg benar. Justru muhammadlah yg pertama menyerang suku quraish
289,Skenarionya terbaca bgt.  Kedua orang ini Jadi keliatan rendah bgt logika berfikir nya. 😂
290,Ajaran yg klaim damai kok perang dinormatifkan 😂
291,Skenarionya terbaca bgt.  Kedua orang ini Jadi keliatan rendah bgt logika berfikir nya. 😂
292,"Jaman Yesus jg jaman perang, tp Yesus tdk mengajarkan utk memerangi. Muhammad jd nabi dan islam ada bkn sejak adam, tp sejak muhammad menjadi nabi ketika usia 40th an. Katanya rahmatan lilalamin, tp kok doanya hanya utk sesama seiman aja, dan menganggap yahudi dan nasrani, atheis sbg musuh. Ada haditsnya bhw nasrani tdk diperbolehkan dijadikan teman. Sedangkan ajaran agama lain mendoakan seluruh bangsa.
Tauhid itu justru meniru yahudi dan kekristenan. Cm sukanya islam mengklaim aja."
293,"Kalau benar ayat perangilah dan bunuhlah itu datang dari Tuhan sesuai masa/jamamnya maka sekarang Tuhan harus menarik kembali wahyu yang katanya tdk sesuai jamannya lagi, begitu ya?"
294,"zaman nabi muhammad dengan yesus lebih awal mana munculnya, jawaban yang benar-benar keliru yang membenarkan ajaran sesat islam"
295,Alhamdulillah. Saya sudah murtad dan memutuskan untuk menjadi pengikut Yesus. 🥰🥰🥰
296,"Perang berarti Neraka, Damai berarti Sorga, itu sudah jelas.Carilah agama yang cinta Damai.okee...."
297,"Jangan asal ngomong oten mengatakan Islam agama perang. Anda mikir dimana Islam pernah menjajah negara lain, dimana dimana. Yg agama penjajah adalah Kristen Kristen, jazirah Arab hancur di perangi oleh negara Kristen, Indonesia di jajah 350 th oleh org Belanda Kristen dan sejarah Kristen masuk Indonesia di bawa  penjajah Belanda Kristen biadab itu. Bukti bukti yg masih ada sekarang yaitu bangunan gereja tua yg di bangun Belanda Kristen. Hati hati anda berbicara bahwa Islam agama perang, anda ikut dialog lintas agama v Kristen baru ada titik temu kebenaran dan kesalahan."
298,"saya paling segan melihat belakang mobil ada tulisan arab disertai pisau panjang atau sabit apalah....
dan saya merasakan .... memang daa rasa perang/kekejaman disana."
299,"gampang aja kok, tinggal murtad aja kalian,  knp gk mau, gk konsisten donk"
300,Terus bangsa belanda yg menjajah indonsesia agama yg dibawa mereka apa 😅😅 helooo...
301,"Jangan lupakan perang dunia 1 dan 2.pencipta mesin pembunuh manusia dari agama kristen dan yahudi.dan enteng nya bilang islam agama perang .
Islam hanya diajarkan untuk melawan bila ditindas.dan dalam kata melawan darah musuh halal bagi nya."
302,Nabi Muhamad perperang karena membela diri karena di perangi itu udh termasuk jihad logika nya klw kita di musuhin mau di bunuh ya wajib hukum nya membela diri .
303,"Islam artinya selamat, selamat bisa di ciptakan dengan kasih, soal anda melihat bangsa taliban, syaih mereka berperang untuk kekuasaan. Karena mereka beragama islam, trus di cap islam agama yg suka berperang. Itu pemahaman yg salah, Islam tidak mengajarkan untuk menyakiti. Kebetulan aja yg berperang agama nya islam."
304,Trimakasih Tuhan Yesus 😊😊😊
305,"Kl ngak tau ajaran islam..jng menjelek2kan islam, 
Penghinaan terhadap agama di Indonesia diatur dalam Pasal 156a Kitab Undang-Undang Hukum Pidana (KUHP). Pasal ini menyatakan bahwa siapa pun yang dengan sengaja melakukan perbuatan atau mengeluarkan perasaan yang bersifat permusuhan, penodaan, atau penyalahgunaan terhadap agama di Indonesia, diancam dengan pidana penjara paling lama 5 tahun. Jika penistaan dilakukan secara tertulis atau melalui media elektronik, ancaman pidana penjara adalah selama-lamanya 6 tahun"
306,"Mela baca di Alkitab, bahwa Yesus tdk pernah berperang, Yesus menjadi Guru dan mengajar banyak org ttg KASIH  yg tulus dan kebaikan."
307,"Kalo Peperangan ato kekerasan tdk dimasalahkan pada zaman itu, bukan berarti Nabi hrs membiasakan Peperangan dan kekerasan dong, apa gunanya Nabi turun klo begitu tetap juga menghalalkan kekerasan?"
308,"Ngomong nya pada ngawur, gak ilmiah..."
309,Peperangan terus menerus di arab krn agama.bila tidak di campur agama mereka gk akan mw ikut se konyol itu.hisbullah.houti hamas.isis..boko haram di afrika
310,agama Islam sangat bertentangan hukum itulah butiny bukan yang baik dan yang maha kuasa yg benar
311,Orang2 bodoh jd narasumber 😂😂😂
312,Perang dan pelecehan dimana2
313,"Yesus yang hadir 600 tahun sebelum Islam malah mengajarkan kasih dan moral yang jauh lebih tinggi dari pada ajaran Muhammad. Yesus tidak pernah mengajarkan perang, dan tidak pernah membunuh orang, jauh berbeda dengan Muhammad...jadi tolong jangan pernah membandingkan Yesus dengan Muhammad, itu penghinaan bagi Yesus.."
314,mangkanya nonton channel dondy tan supaya ngak ketipu dengan IQ jongkok adek armandog
315,"Islam pada takut kabur duluan klo diajak diskusi...auto mninggal
Ustad2 nya juga bgtu kabur😀"
316,"makanya jangan takut murtad supaya masuk surga , Muhammad ngk punya surga ngk kenal Allah jg"
317,"Mamad mukjizat nya belah bulan trnyata bulan ga prnah kebelah...ngibull bngeeett😂😂
Yg bnernya mamad belah Durenn nah itu real🤣"
318,ALQoran dongengnya Mamad real dongeng ngibulin wrga konoha yg msh oon2 lugu🤣🤣
319,Namanya aja koran ya dongeng si Mamad itulah isinya mknya knp stiap mamad mau apa barulah turun ayat kan...krn bebisaan dia aja itu ngarang bebass😂😂🤣
320,Islam dengan Kristen sampai kapan pun pasti berantem.justru penyembahan ketuhanan yang berbeda. Contoh nya.islam . Tuhan nya tidak beranak. Keristen tuhan nya beranak.
321,"berarti Quran sdh tdk relevan tuk masa skrg dlm kaitannya membunuh org kafir? Bingung kan kalian??? Bisa2 akan bnyk yg dibuang ayat2 yg seram tsb. Dari skrg mulailah berfikir, benarkah itu semua firman Allah?"
322,"Kata ""perang"" di sini termasuk bagus."
323,"Kristen adalah agama buatan manusia termasuk biblos nya … Bukan nya wahyu dari Tuhan semesta alam …  yg murtad itu hanya untuk kepentingan diri iaitu kerana susah , kerana kehalminan atau kerana pasangannya dan mungkin yg murtad itu disebabkan jahil ilmu agama"
324,memang betul .. Islam besar karena perang dan kekerasan. Serem ya...
325,"agak takut2 ya membuka kebenarannya...?😅😅
Ayo murtad"
326,"Ade Armando, klw saudara berpikir normal pasti ikut Tuhan Yesus,,, sayangnya kalian bersikeras menolak Kristus yg adalah juru selamat dunia,,kapan lagi akal sehat dipakai,,, cobalah telisik dan kritisi siapa Isa Al-Masih dibandingkan Muhammad dr sisi pengajaran,ilahi, sikap hidup"
327,Taeeee ni org bego amat.khhhhhk
328,"SEUMUR HIDUPNYA  DIA SEMBUNYI.DIA TAKUT AKAN ORANG YAHUDI,MAKA INIKAH TUHAN.DIA TAKUT DI SALIB,DIA BERPELUH DARAH, DIA BERTERIAK PADAALLAH,TUHANNYA UTK TOLONG DIA.MALA H,DIA SOAL,KENAPA SALIB AKU SEORANG MANUSIA YG BENAR?"
329,Basi.
330,"ANAK MURID JESUS ADALAH MUSLIM TETAPI ANAK MURID PAUL ADALAH KRISTIAN.PAUL MEMBUNUH ANAK MURID JESUS DENGAN PEDANG.PAUL PENDUSTA DAN AGAMA REKAAN NYA,KRISTIAN,TIDAK DI PERCAYA OLEH ANAK MURID JESUS."
331,"Membicarakan Perang dizaman dahulu tnpa tau apa konteksnya dan bagaimana sejarah persisnya terjadi perang, dia si perempuan tau ayatnya tp tdk bisa menjelaskan makna dri ayat trsebut, Ayat tersebut turun dizaman nabi muhamad utk kaum² kafir yg menindas & mengintimidasi rakyat miskin dan para budak, dan itu ayat turun utk org² kafir dizaman trsbt, tp dia tdk mampu menjelaskannya, seakan kesannya kami umat islam wajib memerangi org² kafir, bahkan dia tdk mampu menjelaskan kata KAFIR di dlm ayat tersebut.."
332,Ilmunya dangkal si betina ini
333,"SAYA BERIMAN KEPADA MUHAMMAD DAN JESUS.KEDUA MEREKA ADATUHAN.MEREKA SEMBAH SATU TUHAN.DALAM BIBLE TIADA DI SEBUT AGAMA KRISTIAN DARI GENESIS KE  REVELATION.HANYA PAUL,TERORIS KRISTIAN GELAR ANAK MURIDNYA KRISTIAN, BUAT PERTAMA KALI DI ANTIOCH.MAKA JESUS BUKAN KRISTIAN!"
334,"Agama yg umatnya byk cabul, cabul.pantat lg 🤣🤣🤣🤣🤣🤣🤣"
335,Perangilah dan bunulah itu beda artinya monyettt
336,Memang Christian Prince diyoutube mengatakan ISLAM itu mengajarkan KEBENCIAN di dalam ajaran ALQURAN
337,Jujur tntang islam akan dipersekusi...jd bicara tntang islam dinegara ini
338,Yg jd penjajah agama aph y
339,Klo yesus membwa pedang  y
340,Ampuuun....Yok MURTAD Yok. Murtad Gak hrs jadi Kristen kok. Yg penting MURTAD dulu
341,"Mamad kepergok wikwik sama pembantu, turun Wahyu untuk melegalkan perbuatannya 
."
342,"Perlu kejujuran ini di sampaikan untuk pembinaan,generasi ke depan."
343,"Ade Armando otak tolol...kalo lho ga paham agama Islam jangann sok ...nabi perang karena Islam di perangi, Islam selalu mengajak damai dengan melakukan musyawarah,.namun selalu di menentang oleh orang "" kafir pada saat itu mereka lah yg memulai perang jadi jangan berbicara sembarangan.."
