author,published_at,comment,like,en_comment
@dewantoro9594,2024-07-29T02:10:18Z,belum lagi tanah kite jakarte semakin turuntenggelamlah kite,0,not to mention that jakartas land is getting lower and lower lets drown
@masr1277,2024-07-29T05:38:04Z,anaklaut banyak bacot,0,anaklaut talks a lot
@charleston7970,2024-07-28T15:16:53Z,justru kota jakarta lah kota koruptotlr dan sarang penjahat,10,in fact jakarta is a corrupt city and a den of criminals
@mustofa-ol9th,2024-07-28T22:47:18Z,sebentar lagi koruptornya pindah ke ikn,2,soon the corruptors will move to the ikn
@anaklaut8384,2024-07-28T23:02:49Z,skrg mereka udah punya resort new yg bebas dari protes demontrasi oleh rakyat,1,now they already have a new resort that is free from protests demonstrations by the people
@charleston7970,2024-07-29T02:04:47Z,mustofaolth sarang penjahatnya tetap ada di jkt k p i dan pendukung abah itu semua penjahat,1,mustofaolth the criminals den is still in jakarta kpi and abahs supporters are all criminals
@AzhariSp,2024-07-28T15:14:56Z,ikn hanya utk upacara selesai upacara balik lagi ke jakarta emang pejabat betah di sanajujuuur,1,ikn is only for ceremonies after the ceremony return to jakarta do officials really feel at home therereally
@tokohafi762,2024-07-28T15:38:00Z,dijamin anak cucu jokowi sangat betah tinggal di ikn kalau yg lain belum tentu mau tinggal di ikn,1,guaranteed jokowis children and grandchildren will be very happy living in the ikn others are not necessarily going to live in the ikn
@brawijaya9812,2024-07-28T15:45:56Z,ampun bangggg,1,sorry bragg
@andikyana8233,2024-07-28T15:58:15Z,seperti kereta cepat kemarin sebelum merasa nyiyirnya tanpa solusi sana sini kalu dah merasa kok enak sudah pad diem seperti ikn ini juga pasti sama kejadianya,2,like yesterdays fast train before feeling the cynicism without any solution here and there if you already feel its good youll just keep quiet like this icon it must have happened the same way
@brawijaya9812,2024-07-28T16:15:33Z,andikyana siapa yg diem kereta cepat rugi tidak bisa bayar hutang bapak mu yg mau bayar dasar penjilat dan pengkhianat,0,andikyana who is keeping quiet the fast train is at a loss and cant pay its debts your father is the one who will pay you are a sycophant and a traitor
@mugirahayurochayati7124,2024-07-28T16:38:29Z,andikyanaberapa harga tiket kereta cepat,0,andikyanahow much is the fast train ticket
@laurafleisbein2833,2024-07-28T15:10:47Z,kadrun kalo sakit hati nangis aja di pojokan gak ada yang peduli,8,kadrun when shes heartbroken she just cries in the corner no one cares
@JackMania-we5zx,2024-07-28T15:34:23Z,gaje loe tol,0,youre so funny
@fisabillilah3276,2024-07-28T15:00:32Z,ibu kota koruptor nepotisme,4,the capital of corruption and nepotism
@bayulangit5876,2024-07-28T15:19:48Z,kadrun stress gak bakal bisa demo di ikn mau demo tengelamkan,6,kadrun is stressed that he wont be able to demonstrate at the ikn want to demonstrate sink it
@andikyana8233,2024-07-28T15:53:34Z,ikn gak butuh kamu,2,ikn doesnt need you
@mugirahayurochayati7124,2024-07-28T16:36:14Z,lihat saja kisah selanjutnya,2,just see the next story
@redenpelope1986,2024-07-28T22:05:33Z,orang gila ngamuk,1,madman goes on a rampage
@MeitySumampouw-i3w,2024-07-28T14:55:52Z,hadir yg ke,4,present for the nd time
@maryatiuser5865,2024-07-28T14:52:26Z,hadir pertama komen,4,first to comment
@KELUDinfo,2024-07-28T15:00:52Z,keren kak,1,cool bro
@Angun-j6q,2024-12-13T07:11:47Z,ikn tu kan lagi piralconton y daerah kami aja digusurbupati mau ngelapor ngak tau kemanamau dimasukan mediamedianya di sogokya udah lahkami pasrah aja,0,thats a bit of a paradox for example our district was evicted the regent wanted to report it but didnt know where the media was brought in the media was bribed thats it we just gave up
@imamimam1038,2024-12-12T02:48:04Z,bravo mas ahy,1,bravo mas ahy
@marsck2524,2024-12-11T14:32:39Z,pak ahy semoga cepat masuk ke wapres ri do a,0,mr ahy hopefully he will quickly become the vice president of the republic of indonesia do a
@MezkyProperty,2024-12-11T14:12:06Z,wapres bisa ga ya berbicara sprt ini,0,can the vice president talk like this
@kaisanrabbani2302,2024-12-11T12:44:31Z,ini pantas jd no,0,this deserves to be no
@ritasahara7208,2024-12-11T11:38:47Z,mantap pak ahy sukses selalu,0,great job ahy always successful
@netizen-62indo,2024-12-11T07:33:03Z,menteri yang paling sempurnah,0,the most perfect minister
@asurahmamsurahman5739,2024-12-11T03:09:17Z,pak ahy yg terhormat kami juga butuh perbaikan infrastruktur di kampung kami yaitu daerah kabupaten bone sulawesi selatan,0,dear mr ahy we also need infrastructure improvements in our village namely the bone regency area south sulawesi
@sevenone71-f5h,2024-12-10T14:11:32Z,tetapi semakin kesini semakin kelihatan banget aura mangkraknya semoga tidak mangkrak,0,but the further we go the more the aura of being abandoned becomes apparent hopefully it wont be abandoned
@nurfaedah3297,2024-12-10T10:38:39Z,setuju yg terpenting rakyat indonesia hidup makmur sejahtera,0,agreed the most important thing is that the indonesian people live in prosperity
@PENGACARARAKYAT-m7f,2024-12-09T23:43:37Z,ahy bagian dari proyek wisma atlit hambalang mangkrak korupsi kebal hukum,0,ahy part of the hambalang athletes hostel project stalled corruption is immune from the law
@haksuara.9935,2024-12-09T17:51:44Z,apakah perlu melanjutkan tol dan tol laut dan tol utang,0,is it necessary to continue toll roads sea toll roads and debt toll roads
@haksuara.9935,2024-12-09T17:50:33Z,hahahaha lumpur lapindo,0,hahahaha lapindo mud
@Ade-qw5eh,2024-12-09T03:59:47Z,prabowo bagus mmberi ksmpatan pd anak muda,0,prabowo is good at giving opportunities to young people
@bbankjoyy462,2024-12-09T01:34:05Z,ngapain atuh bngun ibu kota kan sdah ada di jakarta emang mau selamanyah kau berkuasa mungkin di balik pembangunan ikn ada saku yg terbuka yg harus di isi uang,0,why build a capital city when its already in jakarta do you want to be in power forever maybe behind the construction of the icon there is an open pocket that needs to be filled with money
@WeleriNeni-is1ry,2024-12-09T00:02:01Z,ahy pantas di jadikan pemimpin atau wakil pemimpin,0,ahy deserves to be made a leader or deputy leader
@harisiswanto2594,2024-12-08T22:21:12Z,betapa tajam menghujam menohok kritik ahy pidato dimasa lalu ketika masih diluar lingkaran,0,how sharp and piercing the criticism of ahys speech in the past when he was still outside the circle
@bl558,2024-12-08T21:49:26Z,berantas korupsi terlebih dahulu,0,eradicate corruption first
@sitisofiah5829,2024-12-08T17:13:30Z,ikn gk penting,0,ikn is not important
@blotonkmarley8631,2024-12-08T15:22:54Z,di mohon bangun dari desa desa dulu baru ke kota,0,please build from the villages first before moving to the cities
@Sholihah-v7t,2024-12-08T14:38:18Z,ahy,0,my
@BainahCan12,2024-12-08T07:44:29Z,asalamualaikumsmoga mas ahy slalu sukses,0,asalamualaikumsmoga mas ahy always successful
@dreamcocolatos,2024-12-08T07:38:36Z,p memang pak jokowi itu jujur sabar penyayang dalam bekerja tidak pernah mengharapkan pujian tidak banyak omong pekerja keras bayangin aja orang yang enggak tahu sih pak jokowi itu kerjaannya apa gitu lihat di manamana pembangunan sampai ke pelosokpelosok dalam waktu tahun merekamereka yang menghujat tuh tidak tahu kinerjanya pak jokowi ada yang menuduh korupsi segala macam tetapi rakyat l kecil lah yang merasakannya mungkin yang tidak tahu papua dan ntt keadaannya gimana dulu sekarang coba lihat kata orang ntt sama orang papua bangun sudah jadi surga,0,p indeed mr jokowi is honest patient caring in his work never expecting praise not talking much hard worker just imagine people who dont know what mr jokowi does for a living look everywhere development has reached remote areas in years those who criticize dont know mr jokowis performance some accuse him of corruption and all sorts but its the common people who feel it maybe those who dont know what the conditions were like in papua and ntt before now just look at what people in ntt and papua say build it up and its become heaven
@saritanjung2477,2024-12-08T07:19:17Z,judul ahy blakan nasib iknkesan pertama yang ditunjukan ahy sangat negatif dan pesimis tentang ikn bahasa menolak secara halus waspada diri banyak bicara ingin menunujukan kehebatan diri tapi kemungkinan keseleo lidah cukup beresiko tinggi sudah banyak makan korban karena lidahnya,0,title ahy flakan akhirat ikn the first impression shown by ahy is very negative and pessimistic about ikn a language of subtle rejection be careful talk a lot to show off your greatness but the possibility of a slip of the tongue is quite high risk there have been many victims because of his tongue
@sarmansarman9611,2024-12-08T01:11:01Z,ikn bukan untuk mensejahterakan rayatini cuma untuk keluarga mulyono,0,ikn is not for the prosperity of the people this is only for the mulyono family
@hasnanares1728,2024-12-07T18:29:25Z,hellleh hambalang mangkrak jadi candi,0,hambalang hellleh abandoned and turned into a temple
@anakagung6936,2024-12-07T16:59:22Z,peminpin ri masa depan,0,future ri leaders
@anakagung6936,2024-12-07T16:58:57Z,calon peminpin ri masa depab,0,candidate for the leader of the republic of indonesia for the next term
@fajaranugra9067,2024-12-07T16:42:41Z,keadilan sosial bagi seluruh rakyat indonusantara harus di tegakkan,0,social justice for all indonesian people must be upheld
@samsulluddinwaewis1422,2024-12-07T12:53:01Z,wapres yg tertukar,0,the vice presidents were swapped
@HusnaHusnawati-u1e,2024-12-07T11:05:09Z,mantap pak ahyselalu dlm lindungi aswt agar bisa selalu membangun nkri,0,great job mr ahy always protect aswt so that it can always build the republic of indonesia
@MsyaifulAnwar-du9sj,2024-12-07T10:58:42Z,lanjutkan ikn apapun resikonya,0,continue ikn whatever the risk
@mulyonojumah8022,2024-12-07T09:37:50Z,lebih cocok jadi wapres dibandingkan gibran,0,more suitable to be vice president than gibran
@darmansaputra8915,2024-12-07T08:47:41Z,kapn pak gaji kuli proyek di naikan,0,when will the wages of project workers be increased sir
@TatanEdisman,2024-12-07T03:11:57Z,jauh beda ahy dgn gibran yg plonga plongo,0,ahy is very different from gibran who is plonga plongo
@didist5052,2024-12-06T22:42:56Z,jauh bagt kecerdasaanya dari keluarga mulyono,0,his intelligence is far superior to that of the mulyono family
@saritanjung2477,2024-12-08T07:26:08Z,tidak ada jaminan orang cerdas itu bisa jadi pemimpinbanyak orang pintar gelar profesor doktor yang tidak jadi pemimpin,0,there is no guarantee that intelligent people can become leaders many intelligent people with professor doctorate degrees do not become leaders
@didist5052,2024-12-09T08:30:19Z,saritanjung menurut km dia pantas ga,0,saritanjung do you think he deserves it
@mohimohi1356,2024-12-06T22:08:47Z,bpk ahy idola ku yg cerdas berwibawalayak memimpin negara,0,mr ahy is my idol intelligent and authoritative worthy of leading the country
@rickylyone5708,2024-12-06T18:52:46Z,jauh beda tinggi kualitas ahy dibanding gibran,0,ahys quality is much different than gibrans
@muhammadkhuzaeni8112,2024-12-06T15:00:04Z,kita simak bulan kedelapan mampukah pranowo membersihkan para koruptor dan perusak demokrasi baru bisa menilai pejuang apa pecundang sekarang no komen,0,lets see the eighth months can pranowo clean up the corruptors and destroyers of democracy only then can we judge a fighter or a loser now no comment
@suwaryowaryo3043,2024-12-06T14:53:08Z,orang cerdas tutur kata dan alur kata serta kalimatnya sangat tertata terpola dan terstruktur sangat jelas dan rapi ahy calon orang nomor indonesia yg sangat layak yangsetuju mana jempolnya,0,smart people speak and the flow of words and sentences are very organized patterned and structured very clearly and neatly ahy is a very worthy candidate for number in indonesia who agrees whose thumbs up
@saritanjung2477,2024-12-08T07:29:14Z,kalo soal bicara panjang uas lah paling pintar bukan ahy,0,when it comes to long talks uas is the smartest not ahy
@komaraomay2267,2024-12-06T14:46:14Z,hambalang atau candi terluas di kaltim,0,hambalang or the largest temple in east kalimantan
@Momonfaiz,2024-12-06T14:18:31Z,harus y ahyjdi wapres jdi jelas komunikasi y bermutu tegas dan lugas mantapp pk ahy,0,must be ahy be the vice president be clear and quality communication firm and straightforward steady pk ahy
@saritanjung2477,2024-12-08T07:31:41Z,kalian tahu ahy nyalon wapres tidak ada yang ngusung hebatnya dimana,0,you know that ahy is running for vice president and no one is supporting him whats so great about that
@SuwarnoSuwarno-w9y,2024-12-06T14:00:45Z,ayow kerja jangan omon omon doang hari harus ada hasinya jangan cuma rencana meluluk,0,come on work dont just talk nonsense there must be results in days dont just make empty plans
@BakulOwol,2024-12-06T13:33:18Z,penjual teh itu yang sengaja biar firal ada pengajian kok ngributin di acara pengajian,0,the tea seller who deliberately let firal have a study session why did he interfere in the study session
@pohyc8275,2024-12-06T13:22:23Z,pikirin ekonomi negara dulu cari pemasukan dulu masalah ikn terakhir aja ekonomi dunia aja lagi berantakan jd yg prioritas dulu bang,0,think about the countrys economy first look for income first and only worry about advertising last the world economy is in a mess so thats the priority bro
@DarsimDarsim-c8x,2024-12-06T12:58:48Z,rakyat kecil d desa membutuh kan kesejahteraan pa ahy,0,the common people in the village need welfare
@HafizaLubna-i9n,2024-12-06T12:07:53Z,ahy ikn jgn berlanjut swasembada bangkit kan pasok pangan pertanian yg harus normalin bukan ikn itu mah sm aza bangun koruptor lapangan kerj pikirkan payah orang ini ga cerdas kebawah,0,ahy ikn should not continue selfsufficiency is rising the agricultural food supply that must be normalized not ikn thats just like building corruptors think about jobs this person is useless hes not smart at all
@putraanggrono-yz2vr,2024-12-06T11:22:06Z,klu ahy jadi wakil prabowo buru ok,0,if i become prabowos deputy itll be okay soon
@sulaemanpanjaitan941,2024-12-06T10:19:48Z,assalamualaikum pak ahy bapak pengurus kadin harus memberikan informasi peluang pesar produk indonesia selanjutnya masyarakat disuport agar bisa mengisi kebutuhan tersebut baik dengan indutri rumah tangga atau industri rukun tetangga dengan membangun kooperasi kooperasi tingkat rt dengan pembinaan dan pengawasan sehingga kualitas produksi sesuai kebutuhan pembeli insya allah dengan cara ini pen gangguran bisa ditekan jangan biarkan rakyat kita hanya jadi kuli tetapi jadi menejer semua ini sederhana kalau dikerjakan dengan ikhlas bukan lipstik dan bukan gbhn gaji besar hasil nol,0,assalamualaikum mr ahy the management of kadin must provide information on opportunities for indonesian product marketing then the community is supported so that they can fill these needs either with household industries or neighborhood association industries by building cooperatives at the rt level with guidance and supervision so that the quality of production is in accordance with buyer needs god willing in this way unemployment can be reduced dont let our people just become coolies but become managers of all this is simple if done sincerely not lipstick and not gbhn big salary zero results
@herusetiadi6329,2024-12-06T09:36:09Z,coba ini wapresnya,0,try this vice president
@Mohacs88,2024-12-06T07:53:47Z,kalo proyek infrastruktur disetop dulu berarti kementrian koordinator dan menteri nya harus di bubarkan,0,if infrastructure projects are stopped first it means the coordinating ministry and its ministers must be dissolved
@denysamsudin1864,2024-12-06T07:39:11Z,cerdas baik sekali publik speakingnya munguasi materi nya walaupun baru masuk di kementrian barunya,0,he is very intelligent and good at public speaking he has mastered the material even though he has just entered his new ministry
@SiswoyoPaseban-zf8ko,2024-12-06T07:38:52Z,sebetulnya mas ahy itu yang sangat pantas menjadi wapres dan mendampingi pak prabowo,0,actually mas ahy is the one who is most deserved to be vice president and accompany mr prabowo
@sarimun-e4c,2024-12-06T06:01:32Z,buktikan jangan omon sajah,0,prove it dont just talk about those two
@Kopihitams3000,2024-12-06T05:44:21Z,ahy ethohir calon pemimpin masa depan,0,ahy ethohir future leaders
@HerawatyTarigan-co1bl,2024-12-06T05:38:21Z,selamat bertugas bpk menahyg b u n all kekuargaamin,0,good luck on your duty bpk menahyg b u n all familyamen
@sydenham9963,2024-12-06T04:05:48Z,itu yg d belakang pada ngepain sih amit mao pasang muka d luar negeri aj gak begitu cuman org doang berdiri nya,0,what are you doing at the back god forbid im going to put up my face overseas its not like theres only person standing
@JohnMonoarfabatumulia,2024-12-06T04:00:19Z,ngapain mikirin ikn ngabisin anggaran yang utama buat kepentingan rakyat,1,why think about spending the budget that is mainly for the benefit of the people
@AgusSalim-cd9dp,2024-12-06T03:33:27Z,biar tau kwalitas seseorang setelah menjabat,0,so that we know the quality of a person after taking office
@arofsayabanibani7608,2024-12-06T03:30:53Z,fokus dulu ekonomi dan kebutuhan rakyat yg urgent ikn itu blm di butuhkan rakyat,1,first focus on the economy and the urgent needs of the people the people dont need the ikn yet
@wawananto8242,2024-12-06T03:29:32Z,purworejo bangga punya putra spt mas ahy smoga bisa menjadi kebanggaan spt para pahlawan pendahulu purworejomelahirkan banyak tokohpahlawan,0,purworejo is proud to have a son like mas ahy hopefully he can be a source of pride like the heroes of his predecessors purworejo has given birth to many figuresheroes
@djaenalabidin-k9e,2024-12-06T01:28:12Z,kualitas ahy tidak bisa di bohongi top,0,ahys quality cannot be denied its top
@InayOkta,2024-12-06T01:26:40Z,jawa tengah banyumas hdr pak prabowo sehat selalu,0,central java banyumas hdr mr prabowo is healthy always
@sofyanserimat7354,2024-12-06T01:10:44Z,apa yang kita perbuat hari ini adalah warisan kepada anak cucu kita,0,what we do today is a legacy to our children and grandchildren
@sofyanserimat7354,2024-12-06T01:07:25Z,hukum perlu ditegakkanrakyat perlu keamanankesejahteraankerukunan,0,the law needs to be enforced the people need peace prosperity and harmony
@Hendra-dv9jd,2024-12-05T23:54:46Z,yg pokok dan yg terpenting kalau suatu negara itu pemimpinnya bersatu padu ke jalan allah pasti negaranya akan aman sejahtera selamanya,1,the main and most important thing is that if a countrys leaders are united in the path of allah then the country will definitely be safe and prosperous forever
@selycradio6327,2024-12-05T23:29:47Z,mantap,0,good
@HambaAllah-nw2md,2024-12-05T23:11:53Z,ikn mah tunda dulu perbaikin ekonomi rakyat dulu dan jangan membebani hutang untuk ikn,1,ikn should be postponed for now fix the peoples economy first and dont burden the ikn with debt
@IkinKin-t6z,2024-12-05T22:43:53Z,ente aja sana pindah sm mulyono,1,you can just move in with mulyono
@borneoraya4054,2024-12-05T20:31:12Z,gausah diurus biar aja itu jadi ibukota prov kaltim,1,no need to worry just let it be the capital of east kalimantan province
@TrisnoAhmad-k8s,2024-12-05T16:33:38Z,harus bisa diselesaikan karena udah lebih dari persen udah jadi jangan sampai gagal klo gagal indonesia untuk maju akan susah,0,it must be completed because more than percent has been completed dont let it fail if it fails it will be difficult for indonesia to progress
@HartoSuharto-pm1pc,2024-12-05T16:03:09Z,urus dulu rakyat miskin ikn ga mendesak,0,take care of the poor first its not urgent
@rositaginting6156,2024-12-05T15:25:13Z,prioritaskan mana yg didahulukanjakarta masih ideal untuk jadi ibu kotaperluas lapangan kerja agar menekan jumlah pengangguran ketahanan panganinfra struktur yg rusakdi waktu yg tepat ikn baru diteruskanmubazir kalau tidak diselesaikansudah banyak anggaran yg tersedot,0,prioritize which one comes first jakarta is still ideal to be the capital city expand employment opportunities to reduce the number of unemployed food security damaged infrastructure at the right time the new ikn will be continued it would be wasteful if it is not completed a lot of budget has been sucked up
@MarinaDubai-f9s,2024-12-05T15:19:05Z,baguss pak mentry ahy,0,good job minister ahy
@husnitamrin3154,2024-12-05T15:04:39Z,haus jabatan juga ternyata,0,it turns out that im also thirsty for positions
@madridwajo17,2024-12-05T14:53:39Z,dulu ahy sngat vokal dgn iknskr sdh beda,1,ahy used to be very vocal with iknnow sdh is different
@BanjarKeren,2024-12-05T14:42:23Z,batal kan ikn masrakat tambah susahtau,1,cancel the icon it will be more difficult for society you know
@aisyahhasna282,2024-12-05T13:57:25Z,ahy munafik,1,oh hypocrite
@sandroboy8441,2024-12-05T13:22:54Z,senggol dong pembangunan rumah di kalteng kami juga perlu,0,we also need to touch on housing development in central kalimantan
@afatechnol061,2024-12-05T13:09:46Z,cerdass sekali menteri kita ini semoga dibawah kepemimpinan beliau dikemenko infrastruktur kesejahteraan rakyat bkn lagi mimpi tpi bener terwujud ana kok yakin dg pak ahy ini sungguh beliau org yg berilmu rightman on the right place,0,our minister is very smart hopefully under his leadership in the coordinating ministry for infrastructure peoples welfare is no longer a dream but will really come true i really believe in mr ahy he is truly a knowledgeable person a right man in the right place
@RudiHartono-lp7yv,2024-12-05T12:37:49Z,loys bisds saja sys prsbowo,0,loys bisds only sys prsbowo
@AyahDin-g1y,2024-12-05T12:07:44Z,mas ahy calon pemimpin masa depan semoga alloh memberkahi sukses mas ahy,0,mr ahy a future leader may allah bless you success mr ahy
@titimyulia3693,2024-12-05T12:05:36Z,alhamdulillah bp sby ada penerusnya sehat selalu bp ahy,0,alhamdulillah mr sby has a successor stay healthy mr ahy
@syarbiniperlak4746,2024-12-05T11:50:19Z,salah satu perusahaan migas sedang mengisap gas di aneh timur dan migas di perairan aceh kapan anda bangun ekonomi di aceh atau jangan anda sedang menunggu sparatis,0,one of the oil and gas companies is sucking gas in the eastern part of aceh and oil and gas in the waters of aceh when will you build the economy in aceh or maybe you are waiting for the separatists
@srisumarmi9777,2024-12-05T11:43:25Z,ikn kemauan pak jokowi dan xinjingping jangan dituruti,0,ikn pak jokowi and xinjingpings wishes should not be followed
@srisumarmi9777,2024-12-05T11:40:02Z,stop ikn karena membahaya kan kedaulatan nkri,0,stop the ikn because it endangers the sovereignty of the republic of indonesia
@martonoaguspena2202,2024-12-05T11:26:54Z,ahy mantap cara pidatonya sangat lugas dan mudah di mengerti itu lah orang cerdas yg putut utk dicontoh selamat pak ahy aku salut dan bangga punya pemimpin seperti pak ahy pintar cerdas tapi tetap sopan dan tidak sombong,0,ahy is great his speech is very straightforward and easy to understand that is an intelligent person who is worthy to be emulated congratulations mr ahy i salute and am proud to have a leader like mr ahy smart intelligent but still polite and not arrogant
@kmpalguna7946,2024-12-05T11:24:34Z,ikn jt akan jd rumah hantu,0,ikn million will become a haunted house
@multazim1400,2024-12-05T11:07:46Z,mantap anak mantan persidn semangat membangun negri bersama,0,great the children of former presidents are enthusiastic about building the country together
@mochammadyunus4686,2024-12-05T10:37:48Z,ikn bisa mangkrak ambisi jokowi sby mangkrak hambalang sama ambisi rakyat menanggung beban pajak parah,0,ikn can stall jokowis ambition sby stalls hambalang with ambitions the people bear a severe tax burden
@SupriYatno-mj7tb,2024-12-05T10:26:21Z,anggaran dari mana bos mau peras rakyat lewat pajak kenaikan bbm,0,where does the budget come from boss you want to squeeze the people by increasing fuel taxes
@khamimthohari-ow6pu,2024-12-05T10:03:58Z,jangan menilai kapasitas seseorang karna di dasari atas kebencian dan kecintaan pada figur agar penilaianmu positif dan sesuai porsi masing siapapun figurnya,0,dont judge someones capacity based on hatred and love for the figure so that your assessment is positive and according to each persons portion whoever the figure is
@SupriYatno-mj7tb,2024-12-05T09:50:06Z,la calon kena resafle pak prabowoudah berani semaunya sendiri,0,the candidate who was reshuffled mr prabowo dared to do whatever he wanted
@cucusuminar545,2024-12-05T09:29:05Z,mas ahy layak jadi wapres dibanding gibran ga ada apsnya kami setuju klo gibran diganti oleh mas ahy,0,mas ahy is more deserving of being vice president than gibran there is no point in it we agree that gibran should be replaced by mas ahy
@masterhoki686,2024-12-05T09:21:29Z,ada ahy mengapa harus gibran,0,there is ahy why must it be gibran
@bostonsembiring2502,2024-12-05T09:15:36Z,supaya ikn bisa selesai hutang lagi aja ke cina lalu naikkan pajak agak tinggi dan impore di perbanyak pasti pejabat akan bahagia maribkita dukung rakyat harus kerja keras untuk kebahagiaan pak mul dan keluarga,0,in order for the ikn to be completed just borrow more from china then raise taxes a bit higher and increase imports surely the officials will be happy lets support the people must work hard for the happiness of mr mul and his family
@jokebetsaludung4826,2024-12-05T08:24:30Z,ada apa ahy,0,whats up ahy
@Mrs.wd_adams,2024-12-05T08:19:37Z,ikn siap mangkrak,0,is the ikn ready to stall
@pakkuat4284,2024-12-05T08:00:05Z,semoga indonesia akan tampil para pejuang muda potensial yang sudah di awali oleh mas gibran sebagai wapres,0,hopefully indonesia will show potential young fighters who have been initiated by mas gibran as vice president
@martindas796,2024-12-05T07:13:31Z,lhoini mestinya wapresnyapidatonya jelas dan mantabbeda dgn si samsul pidatonya pletat pletot gak jelaskesannya plonga plongo,0,hey this should be the vice president his speech is clear and solid unlike samsul his speech is rambling and unclear he gives the impression of being completely blank
@JonoWidodo-cf3jl,2024-12-05T07:07:21Z,pk ahy seharusnya bertindak tentang ikn dulu jokowi menghujat pk sby tentang hambalang,0,mr ahy should have acted regarding the ikn previously jokowi criticized mr sby regarding hambalang
@Kalepamat-zo2dl,2024-12-05T06:50:53Z,buruh sajah hp ipon itu sampai ke desadesa nya,0,the laborers only brought the iphone cellphone to the villages
@jumaiyah4269,2024-12-05T06:15:29Z,bicarax bijak sopan pelan jelas dan pasti,0,speak wisely politely slowly clearly and surely
@BuPainah-yh8fr,2024-12-05T05:26:48Z,in,0,in
@counter-w5r,2024-12-05T04:47:16Z,kadin kasih kesempatan jga para ilmnuanjagan para pengusaha mulu mepet di penguasato investasi kan dari luar bukan dari kalianilmuan juga bisa jadi penguasahatapi bukan seperti itu maksudnyaartinya tau diri kita di posisi masing masing tapi setidaknya ilmuan itu harus sejajarbiar riset juga bisa jalan,0,kadin also gives chances to scientistsdo not allow entrepreneurs to close to the governmentthe investment come from outside not from youscientists can also become entrepreneursbut thats not what i meanthis means knowing ourselves in our own positions but at least scientists must be on the same levelso that research can also go on
@MP-yk8rd,2024-12-05T04:44:03Z,ini anak muda yang cocok jadi wapres bukan odgj yang sekarang jadi wapres nggak cocok,1,this is a young man who is suitable to be vice president not a man with odgj who is now vice president is not suitable
@budisastrawan9714,2024-12-05T04:33:59Z,cukup d jadikan penjara bagi para koruptor saja tu ikn tinggal d kelilingi pagar dan kawat berduri saja utk sementara,0,its enough to just make it a prison for corruptors just surround it with a fence and barbed wire for the time being
@taslimbnn3264,2024-12-05T03:48:50Z,di indonesia banyak orang pintar tapi sangat sedikit orang jujur sedang indonesia butuh orang jujur disamping pintar,1,in indonesia there are many smart people but very few honest people while indonesia needs honest people as well as smart people
@AcenkkAcenkk,2024-12-05T02:37:07Z,muka tamak,0,greedy face
@pak35872,2024-12-05T02:20:00Z,saya sangat setuju ikn dijadikan cagar budaya aman sejuk damai sejahtera dinas pari wisata aku baca,0,i strongly agree that the ikn should be made a cultural heritage site safe cool peaceful prosperous tourism department i read
@aryaberceria333,2024-12-05T02:18:50Z,menunggu waktu resmi ikn jadi ibukota negara indonesia,0,waiting for the official time for ikn to become the capital city of indonesia
@tamapratama9296,2024-12-05T08:58:17Z,menunggu mangkraknya,0,waiting for it to stall
@utamiutami6594,2024-12-05T02:07:50Z,indonesia emas indonesia maju,0,golden indonesia advanced indonesia
@endangsrirahayu-ii3bi,2024-12-05T01:49:00Z,k,0,k
@ghufron_albeij1178,2024-12-05T01:42:47Z,jadikan ikn tempat rekreasi ajajangan paksakan pindahrakyat dah susah ekonomi sulittinggalkan aja warisan mulyono,0,make the ikn a place of recreation dont force it to move the people are already struggling economically just leave mulyonos legacy
@PanglimaTungau,2024-12-05T00:49:23Z,ikn sdh disarahkan jokowi ke sinar mas untukmembngunmlnjutkanpembnunanya olegerke ptnsinarmas yng fimsnsmna adperusahanya sampaibsng dinarmas,0,ikn has been given by jokowi to sinar mas to continue its development by pt sinar mas which is a company even dinarmas
@SimonCelli-ln6hz,2024-12-04T23:44:50Z,lebih cocok jd wapres nya pak prabowo,0,more suitable to be mr prabowos vice president
@Yayi-wr6rz,2024-12-04T23:43:27Z,kita harus bersukur pada tuham yang maha kuasa karena kita diberi pimpiban yang sangat baik segalanya misalnya nas gibran dan mas ahy ini semoga proyek ikn lekas diselesaikan agar indonesia bisa menjadi mercusuar dunia seperti yang sudah dicanangkan dan dulu dikatakan oleh bpk proklamator kita bahwa indonesia ini akan menjadi mercusuar dunia amin syalom,0,we must be grateful to the almighty god because we have been given very good leadership in everything for example gibrans message and mr ahys message hopefully the ikn project will be completed soon so that indonesia can become a beacon of the world as has been planned and said by our proclaimer that indonesia will become a beacon of the world amen shalom
@soemarno292,2024-12-04T23:11:36Z,itulah pemimpin muda yg akan saling bersinergiok,0,thats the young leader who will synergize with each otherok
@soemarno292,2024-12-04T23:09:17Z,masing pemimpin muda punya kelebihan kekurangan jangan dibanding bandingkan,0,each young leader has their own strengthsweaknesses dont compare them
@Rony272,2024-12-05T07:25:14Z,ya kalau ahy sama fufufafa jauh hebat ahy ibarat bumi dan langit,0,yes ahy and fufufafa are far superior like heaven and earth
@junifamily6759,2024-12-04T22:50:24Z,kapan ibukota negara pindah di ikn sbg pusat pemerintahankoq omon omontagih itu tagih jangan bohongi rakyattuntut mulyono janjinya,0,when will the national capital move to the ikn as the center of governmentwhy are you talking nonsensecollecting is collecting dont lie to the peopledemanded mulyono his promise
